TC =  0
  97   28   22 
  58    1   38 
 -44   15  -74 
  98  -18    4 
 -54   19    9 
  39   25  -78 
 -36   83   51 
 -11   87   60 
  54   54   19 
 -63   76   52 
  80   65   10 
   0   75  -96 
   6  -53    8 
  22   92   38 
   3  -13  127 
  48  -91   10 
  50  -27  -43 
  18  -71  -83 
 -62  -53  -68 
  45   75   35 
-101   84   54 
 -18   90   55 
   7   -9  -29 
  19    1  -20 
 -12   91  -21 
  65 -119  -27 
 -92   76  118 
 -40  -13  -45 
   5   66  -17 
-100    2  -34 
  58   21   16 
  -2  -63  -41 
  37   43  -12 
 -16   54  -65 
   7   68  -44 
 -40  -17   -5 
 -75  -45  -45 
 107   77   20 
  50   -5   40 
 -84   33  -77 
 -38   15  -33 
  24   82   -2 
 -78   -7   52 
  51  -42  114 
  37   -9   55 
  18 -112   85 
  -6    0   63 
  62   31  101 
  -1  -23  -21 
 -67   46 -104 
   7  -28  -54 
 -99   23   11 
 -53    7  -34 
  20   10   41 
 103   35  -98 
 -54  117   -3 
  95   14  -27 
  70 -127   84 
 -56   24   -5 
 123   86   57 
 -10   51  -47 
 127   -2   36 
 -68   60  -25 
  26   -3   -2 
  37  -10   39 
 -75   54   91 
  25  -80    6 
 -54 -100  -41 
 -26    9   26 
  -1   82   -9 
 -23  -90  -69 
  30  -74   72 
 108   55   38 
  65    9   81 
  71  -50  -39 
   0    0    0 
 -30  -33  -84 
  89   69  -30 
   1   59  107 
 -20  -73  -16 
 100   97  -66 
  68   50   65 
   6   42   10 
 -50  -22   -3 
 -25  -60   39 
 -87   67   22 
 -51   46  -31 
 -66   89  102 
  20   60   16 
  58   98   30 
  14  -59  -82 
  19   65    2 
  38   16    9 
 120   47  -81 
  49   58   44 
  45  -40   83 
  61   43  -31 
  -1  -73  -23 
   2  -88   75 
  35   73 -111 
  46   87  -17 
 -23  -25  -66 
 -74   -7  -60 
  -7  -56   18 
 -34  -65  -23 
  14  -43  -29 
 -58   86  -57 
   2  -35   58 
  20   51  -56 
 -38   -9  -40 
  55   14  113 
 -60  -10   31 
 112   42    3 
   9  -20  -50 
 118  -97   47 
 -16  -65  -34 
  36   20   60 
  89   59   36 
 -77  -11    0 
  43   79  -77 
  -8  -70  -69 
  10  -85   40 
 127   74  -45 
  57   99  -35 
  80  -59   48 
 126  -87   14 
  22   75  -34 
 -62   35   23 
 -52   41   32 
 -81  -33  -19 
  59  -10  127 
 -26   -9   79 
 -29   68   18 
  40  -20   86 
 -35  -18   83 
  -1  -64   47 
  29  -37  -58 
  -2  -68  -69 
 -34  -45  -52 
 -37  -10   73 
  -6   20  -18 
  47   59   24 
  38   38   29 
 -29   87  -50 
  14   18   16 
  -3   50    0 
  29  107  -70 
  73  -42  -26 
  58   57   -9 
  32  -25   36 
  48  -96  -77 
 -86   45   48 
  38  -18   -8 
  13  -60  -59 
 -67   13  -62 
   1  -23  -74 
 105   25   47 
  60   28 -110 
  -5  -27   12 
 106  -58   -9 
  64  -37   24 
  38   13   86 
 -74   35  -75 
 -37   28   33 
 -55   21  122 
 -75  -29   43 
 -77  -20   14 
 -29   20   44 
  51   26  -23 
  79  -69  -32 
  68  -50   17 
 -80  -44  -53 
 -14   34   48 
 -90    3   50 
  26  -53   33 
  16  -43   33 
 -80   38  -33 
   5  -46   57 
 -95   37    1 
   6   76  -82 
  29   78   67 
 -73    0  -32 
 112   39  -26 
 -57  -10  -65 
 -49  -79   30 
  12   76   33 
  11  -38  -27 
 -30    3  -28 
  34   54  -10 
 -11  -57   31 
 -12  -40  -43 
   3   26   60 
  68  -31  127 
 -51   18  -26 
 -72   53   31 
  24   57  -82 
 100   64   56 
  94  102    7 
-107    7  -82 
  52   -2  -23 
  50   61  -49 
 105   59  -73 
 -83  -78  -47 
  83  -52    6 
 -14   21  -80 
  27  -65  -62 
 -23   61 -124 
 -68   32   30 
 -96   30   86 
  38   -5    4 
 -58   10 -110 
 -86  -86    7 
  30   40  -43 
  -5  -73   40 
 -13   74 -127 
  -6   10  -51 
 -60    6  -28 
 -62  -23  -62 
  46  -55  -16 
  75   61  -45 
 -27   50  -69 
 -57  -36  -87 
  16   33  -76 
 -54  -69   79 
 -37   20   77 
  70  127  -53 
   9   28  -60 
 -58   56   99 
  71    2   60 
 -16  119   35 
-107   50  -44 
  70  -87  -12 
 -26   -3  -55 
 -22  -65  -47 
 -69  -61 -111 
 -11   27  -22 
  42  -11   39 
-100   60  -16 
  28   24   31 
   5   76   54 
 -38  -54  -26 
 102   50    7 
 -45   76  -74 
   0   49   20 
  54   75   64 
  18  -57 -103 
 102  -70   53 
  72   55   42 
  80   10  -67 
  57   -9  -16 
 -25   34  -35 
   4  -44 -127 
 -89  108    7 
 -27   37   85 
 -52   76   70 
  69  -71   89 
 -10   61  -61 
  32   48   74 
 101  -90    5 
  90  -49    4 
  -5  -20  -20 
 -15  -41  -74 
  11   56  -80 
  30  -55  -19 
 -59   54   77 
 -16  -27   15 
 -73  -70  -18 
 -65  -69  -24 
   0    0    0 
  63   62   67 
 -52   60   64 
  48  -50 -103 
 -55   53   73 
  63  -16  -93 
 -57    3  -42 
 -35   39   94 
 127  127   14 
 -36  -21   41 
  20   24  -45 
  41  -61   85 
   7  -45 -108 
 -62  -50  -15 
  84   85  -27 
  38  -36  -43 
 106   80  -15 
  22  114   50 
  56  -82   23 
  47  -71   -6 
  50   38   77 
 -15   68   53 
  29   57  -95 
  34  -36  -28 
 -31   60  118 
   1   61   31 
  83  -74  -61 
  30   84   84 
  47   46  -83 
  29  -35   58 
  -4  -20  -44 
  62  -57   26 
 -12  123  -39 
 -52   11   61 
  11  127  -57 
 -63  -48  -63 
 -29  -47   54 
  64  -16   31 
 -90  -33  -32 
   9  -43  -50 
 -61  -16    0 
 111   37  -83 
  -8 -103 -109 
  69  -57  -34 
 -39   98  -54 
 -71   33   80 
 120   -4   56 
  51  -58   65 
  59  -12  -13 
  40  -41  -64 
  49   56   79 
  21  -63   -4 
  97   24  -41 
 -45   68  -35 
  28   12  -94 
 -43  -21  -54 
  -1  -29   59 
 -45  -34   40 
  57   42  -68 
  39  -83  -22 
 -20  -48    8 
  17   46    2 
  37   63   48 
 -83   78  -56 
 -72  -50  -45 
 -45  -29   19 
  42  -35  -32 
  28  -14  -17 
 -94   36  -66 
  38   40  -54 
  13  -60    3 
 108   46 -127 
 -33   11  -17 
 -71 -109   31 
 -81  -85   21 
 -22  -53   46 
 -72  -18  -15 
 -22   63   23 
 -37   40  -10 
   3  -10  100 
 118   12  -11 
 -15  -81  -47 
 120  -26   20 
 -79   71  -21 
   5  -21   69 
 -10  -53 -101 
 -84  -37  106 
  17  -66  -18 
 -29   34  -46 
  14  -10  -37 
  86    5  -22 
  35   26  -60 
  52  -61 -105 
 -90   15   72 
   5  -53   11 
   6  112  -66 
 -44  -78  -42 
 107  -71  -40 
   1   48   18 
  -2   61   27 
 -75  -61  -74 
 -54   39  -17 
  11   -1  -23 
 -61  -47   81 
  -4   20   22 
 -50  -45   -8 
  32  -35  -80 
 -17   -9   78 
  52  -20   52 
 -18   34  -37 
 -50   20  -64 
 -39   15    2 
  -9  -11  -61 
 -26  -32    0 
 -14    8   36 
 -23  -31   40 
   0   13   33 
 -79  102  -39 
-123   16  -43 
  39   22  106 
 127   56  -10 
 -15    0   28 
 -93 -100   29 
 -64   28  105 
   3  -40  -26 
 -67   36  -65 
 -72   -6  -16 
 -59  -42    3 
 -33  -42   27 
 -45  -62  -41 
 -24  -21  -12 
  13  -99   45 
 -72   81   89 
 -10   15  -76 
  10  -63  -47 
  27  -28    0 
  63  -39  -34 
  55   83   68 
  30   56   -5 
  -2  -69  -14 
 -20   49   10 
 -32   31  -67 
 -69  -79 -110 
-126   42   46 
 -59   32  -28 
  47  -98  -77 
  -5  -64  -23 
  25   59  -29 
  36  -23  -76 
  14  -20  -10 
  72  -30 -101 
  84   38  124 
 -14   79   32 
  22  -60   -1 
  61 -102    9 
 -89  -36   35 
 -54   73  -84 
  19   53   67 
 -23   46   86 
 -39   17   51 
  86   47  -12 
